Cycle,True_labels,Predicted_labels,Errors,Run_times
377,0,0,0,45.01104355
378,0,0,0,40.00902176
379,0,0,0,46.01097107
380,0,0,0,54.01110649
381,0,0,0,44.01063919
382,0,0,0,41.00847244
383,0,0,0,41.01014137
384,0,0,0,46.00906372
385,0,0,0,40.0094986
386,0,0,0,40.00878334
387,0,0,0,40.00926018
388,0,0,0,40.0094986
389,0,0,0,37.0080471
390,0,0,0,38.00821304
391,0,0,0,39.00837898
392,0,0,0,39.0086174
393,0,0,0,38.00964355
394,0,0,0,39.00814056
395,0,0,0,38.00797462
396,0,0,0,38.0089283
397,0,0,0,39.00957108
398,0,0,0,40.00854492
399,0,0,0,38.00821304
400,0,0,0,38.00797462
401,0,0,0,39.00933266
402,0,0,0,38.00821304
403,0,0,0,38.00821304
404,0,0,0,43.01095009
405,0,0,0,37.00780869
406,0,0,0,37.00852394
407,0,0,0,38.00940514
408,0,0,0,40.0083065
409,0,0,0,37.00828552
410,0,0,0,40.00902176
411,0,0,0,40.00878334
412,0,0,0,42.0088768
413,0,0,0,42.00983047
414,0,0,0,41.00894928
415,0,0,0,43.01071167
416,0,0,0,40.0094986
417,0,0,0,44.00897026
418,0,0,0,42.00911522
419,0,0,0,38.00868988
420,0,0,0,38.00821304
421,0,0,0,37.00947762
422,0,0,0,40.0083065
423,0,0,0,38.00940514
424,0,0,0,37.00733185
425,0,0,0,41.01037979
426,0,0,0,38.00797462
427,0,0,0,39.00814056
428,0,0,0,39.00957108
429,0,0,0,41.00871086
430,0,0,0,39.0086174
431,0,0,0,37.01877594
432,0,0,0,40.99869728
433,0,0,0,38.01012039
434,0,0,0,37.00733185
435,0,0,0,39.00980949
436,0,0,0,38.00725937
437,0,0,0,40.01069069
438,0,0,0,39.00742531
439,0,0,0,42.00983047
440,0,0,0,39.00814056
441,0,0,0,40.00878334
442,0,0,0,41.0091877
443,0,0,0,40.0094986
444,0,0,0,41.01085663
445,0,0,0,38.00702095
446,0,0,0,40.00997543
447,0,0,0,38.00868988
448,0,0,0,39.00837898
449,0,0,0,40.00878334
450,0,0,0,40.00997543
451,0,0,0,49.01146889
452,0,0,0,40.00926018
453,0,0,0,43.01071167
454,0,0,0,39.42036629
455,0,0,0,39.01267052
456,0,0,0,41.00728035
457,0,0,0,37.01448441
458,0,0,0,38.01226616
459,0,0,0,38.00821304
460,0,0,0,41.00942612
461,0,0,0,40.00020027
462,0,0,0,38.01703453
463,0,0,0,40.00043869
464,0,0,0,40.00878334
465,0,0,0,38.0089283
466,0,0,0,40.14897346
467,0,0,0,39.00909424
468,0,0,0,41.00966454
469,0,0,0,42.00816154
470,0,0,0,47.01089859
471,0,0,0,41.00942612
472,0,0,0,42.00935364
473,0,0,0,42.01817513
474,0,0,0,40.00043869
475,0,0,0,39.10493851
476,0,0,0,41.01014137
477,0,0,0,45.01104355
478,0,0,0,39.00718689
479,0,0,0,38.00845146
480,0,0,0,39.00909424
481,0,0,0,38.0089283
482,0,0,0,41.00847244
483,0,0,0,40.00973701
484,0,0,0,43.01071167
485,0,0,0,43.01762581
486,0,0,0,39.00051117
487,0,0,0,41.00775719
488,0,0,0,38.29860687
489,0,0,0,39.00718689
490,0,0,0,39.01004791
491,0,0,0,39.00790215
492,0,0,0,39.00980949
493,0,0,0,45.0117588
494,0,0,0,44.00634766
495,0,0,0,47.01185226
496,0,0,0,46.01049423
497,0,0,0,48.01011086
498,0,0,0,46.01073265
499,0,0,0,39.01004791
500,0,0,0,38.00725937
501,0,0,0,41.00847244
502,0,0,0,38.00868988
503,0,0,0,39.78085518
504,0,0,0,38.00773621
505,0,0,0,41.00012779
506,0,0,0,40.00854492
507,0,0,0,38.00868988
508,0,0,0,41.00990295
509,0,0,0,41.00894928
510,0,0,0,41.00871086
511,0,0,0,40.00902176
512,0,0,0,42.51551628
513,0,0,0,40.0083065
514,0,0,0,40.46535492
515,0,0,0,45.00961304
516,0,0,0,39.00933266
517,0,0,0,39.78729248
518,0,0,0,38.00821304
519,0,0,0,40.20786285
520,0,0,0,49.01099205
521,0,0,0,42.00911522
522,0,0,0,46.53263092
523,0,0,0,45.01008987
524,0,0,0,49.00979996
525,0,0,0,42.01054573
526,0,0,0,43.00880432
527,0,0,0,40.00997543
528,0,0,0,44.00873184
529,0,0,0,45.01080513
530,0,0,0,45.01008987
531,0,0,0,39.77537155
532,0,0,0,44.01922226
533,0,0,0,44.03162003
534,0,0,0,37.99962997
535,0,0,0,40.00878334
536,0,0,0,40.01808167
537,0,0,0,204.7393322
538,0,0,0,37.0349884
539,0,0,0,38.08569908
540,0,0,0,39.14356232
541,0,0,0,38.00964355
542,0,0,0,36.84449196
543,0,0,0,38.00797462
544,0,0,0,38.00845146
545,0,0,0,38.0153656
546,0,0,0,38.00654411
547,0,0,0,39.01028633
548,0,0,0,37.01233864
549,0,0,0,39.01052475
550,0,0,0,47.95503616
551,0,0,0,46.00906372
552,0,0,0,41.01061821
553,0,0,0,43.00999641
554,0,0,0,42.00768471
555,0,0,0,41.82863235
556,0,0,0,39.01004791
557,0,0,0,41.02110863
558,0,0,0,39.00885582
559,0,0,0,40.00878334
560,0,0,0,40.02213478
561,0,0,0,43.00928116
562,0,0,0,44.01016235
563,0,0,0,41.00894928
564,0,0,0,44.01230812
565,0,0,0,41.00799561
566,0,0,0,42.00983047
567,0,0,0,42.01436043
568,0,0,0,46.01144791
569,0,0,0,41.00942612
570,0,0,0,41.00942612
571,0,0,0,46.01335526
572,0,0,0,42.00959206
573,0,0,0,43.01118851
574,0,0,0,53.01594734
575,0,0,0,45.01152039
576,0,0,0,48.00987244
577,0,0,0,57.01327324
578,0,0,0,45.01366615
579,0,0,0,41.00871086
580,0,0,0,40.01331329
581,0,0,0,44.00730133
582,0,0,0,43.0123806
583,0,0,0,39.00814056
584,0,0,0,39.01076317
585,0,0,1,42.01459885
586,0,0,1,39.00909424
587,0,0,1,40.01259804
588,0,0,1,42.01078415
589,0,0,1,42.00673103
590,0,0,1,45.01771927
591,0,0,1,38.00749779
592,0,0,1,42.02222824
593,0,0,1,42.00935364
594,0,0,1,40.00997543
595,0,0,1,42.02198982
596,0,0,1,41.00894928
597,0,0,1,40.81821442
598,0,0,1,39.00766373
599,0,0,1,41.48364067
600,0,0,1,41.00847244
601,0,0,1,40.00902176
602,0,0,1,43.00928116
603,0,0,1,41.0091877
604,0,0,1,38.00797462
605,0,0,1,40.00735283
606,0,0,1,43.01261902
607,0,0,1,41.0091877
608,0,0,1,40.00639915
609,0,0,1,49.01075363
610,0,0,1,46.01073265
611,0,0,1,43.00951958
612,0,0,1,42.01102257
613,0,0,1,54.01062965
614,0,0,1,48.01034927
615,0,0,1,45.01128197
616,0,0,1,47.0097065
617,0,0,1,40.01069069
618,0,0,1,49.00932312
619,0,0,1,46.01120949
620,0,0,1,48.01082611
621,0,0,1,44.01063919
622,0,0,1,39.0086174
623,0,0,1,47.00994492
624,0,0,1,49.01123047
625,0,0,1,54.01158333
626,0,0,1,50.01163483
627,0,0,1,39.0086174
628,0,0,1,39.01052475
629,0,0,1,40.00663757
630,0,0,1,46.01168633
631,0,0,1,41.00871086
632,0,0,1,44.01063919
633,0,0,1,44.0094471
634,0,0,1,53.01189423
635,0,0,1,48.01082611
636,0,0,1,53.01141739
637,0,0,1,54.01229858
638,0,0,1,48.01106453
639,0,0,1,46.01049423
640,0,0,1,42.01102257
641,0,0,1,39.0086174
642,0,0,1,39.00742531
643,0,0,1,41.0091877
644,0,0,1,37.00947762
645,0,0,1,38.00868988
646,0,0,1,38.00964355
647,0,0,1,40.00616074
648,0,0,1,39.00957108
649,0,0,1,38.00821304
650,0,0,1,40.00973701
651,0,0,1,37.0080471
652,0,0,1,39.00933266
653,0,0,1,39.00790215
654,0,0,1,40.00973701
655,0,0,1,40.00782967
656,0,0,1,37.00995445
657,0,0,1,40.00926018
658,0,0,1,39.0086174
659,0,0,1,38.0089283
660,0,0,1,39.01004791
661,0,0,1,40.00735283
662,0,0,1,39.00909424
663,0,0,1,38.00868988
664,0,0,1,39.00933266
665,0,0,1,37.00661659
666,0,0,1,37.01066971
667,0,0,1,38.00725937
668,0,0,1,40.0094986
669,0,0,1,39.00837898
670,0,0,1,40.00902176
671,0,0,1,41.01014137
672,0,0,1,42.00816154
673,0,0,1,39.00885582
674,0,0,1,37.00900078
675,0,0,1,48.01154137
676,0,0,1,42.00959206
677,0,0,1,38.78688812
678,0,0,1,43.01071167
679,0,0,1,39.00790215
680,0,0,1,41.00871086
681,0,0,1,40.01045227
682,0,0,1,42.00959206
683,0,0,1,43.009758
684,0,0,1,37.00852394
685,0,0,1,39.00885582
686,0,0,1,41.00942612
687,0,0,1,38.00749779
688,0,0,1,39.00837898
689,0,0,1,41.00966454
690,0,0,1,38.00773621
691,0,0,1,37.00947762
692,0,0,1,40.00902176
693,0,0,1,40.0094986
694,0,0,1,40.0083065
695,0,0,1,39.00957108
696,0,0,1,43.0085659
697,0,0,1,44.01135445
698,0,0,1,41.00823402
699,0,0,1,45.01056671
700,0,0,1,38.00773621
701,0,0,1,37.0080471
702,0,0,1,39.00909424
703,0,0,1,41.01109505
704,0,0,1,38.00678253
705,0,0,1,38.00940514
706,0,0,1,41.01014137
707,0,0,1,38.00821304
708,0,0,1,40.0094986
709,0,0,1,40.00806808
710,0,0,1,204.5624256
711,0,0,1,38.02108765
712,0,0,1,37.00947762
713,0,0,1,41.00942612
714,0,0,1,42.00768471
715,0,0,1,40.00997543
716,0,0,1,37.00757027
717,0,0,1,40.01092911
718,0,0,1,38.00702095
719,0,0,1,37.01019287
720,0,0,1,40.00759125
721,0,0,1,37.00757027
722,0,0,1,38.00868988
723,0,0,1,37.00947762
724,0,0,1,41.00966454
725,0,0,1,37.0080471
726,0,0,1,38.00797462
727,0,0,1,40.00902176
728,0,0,1,38.00797462
729,0,0,1,37.00947762
730,0,0,1,37.00757027
731,0,0,1,40.0094986
732,0,0,1,37.00900078
733,0,0,1,38.00940514
734,0,0,1,39.0086174
735,0,0,1,37.00852394
736,0,0,1,37.00733185
737,0,0,1,38.00916672
738,0,0,1,40.0083065
739,0,0,1,38.00964355
740,0,0,1,38.00797462
741,0,0,1,40.00878334
742,0,0,1,38.01012039
743,0,0,1,38.00797462
744,0,0,1,37.0080471
745,0,0,1,40.00782967
746,0,0,1,38.00845146
747,0,0,1,37.00971603
748,0,0,1,40.00854492
749,0,0,1,38.0089283
750,0,0,1,47.0097065
751,0,0,1,44.01040077
752,0,0,1,39.00885582
753,0,0,1,39.00957108
754,0,0,1,38.00868988
755,0,0,1,41.00823402
756,0,0,1,42.00935364
757,0,0,1,38.01107407
758,0,0,1,39.00575638
759,0,0,1,37.01043129
760,0,0,1,37.00685501
761,0,0,1,37.00852394
762,0,0,1,41.00823402
763,0,0,1,41.00966454
764,0,0,1,47.01137543
765,0,0,1,51.01180077
766,0,0,1,45.01032829
767,0,0,1,43.00928116
768,0,0,1,40.00902176
769,0,0,1,41.00847244
770,0,0,1,40.00854492
771,0,0,1,39.00980949
772,0,0,1,41.00799561
773,0,0,1,38.00940514
774,0,0,1,39.0086174
775,0,0,1,45.00937462
776,0,0,1,42.00959206
777,0,0,1,38.00940514
778,0,0,1,40.00973701
779,0,0,1,40.00759125
780,0,0,1,41.00966454
781,0,0,1,43.00999641
782,0,0,1,42.00983047
783,0,0,1,40.00782967
784,0,0,1,42.00911522
785,0,0,1,42.00863838
786,0,0,1,43.00951958
787,0,0,1,41.00966454
788,0,0,1,40.00902176
789,0,0,1,47.01137543
790,0,0,1,44.00992393
791,0,0,1,40.0083065
792,0,0,1,41.00966454
793,0,0,1,42.0088768
794,0,0,1,40.63153267
795,0,0,1,42.00863838
796,0,0,1,42.01078415
797,0,0,1,40.00711441
798,0,0,1,43.01047325
799,0,0,1,48.00987244
800,0,0,1,48.01249504
801,0,0,1,44.0094471
802,0,0,1,49.01003838
803,0,0,1,51.01251602
804,0,0,1,40.00926018
805,0,0,1,42.0088768
806,0,0,1,43.01023483
807,0,0,1,52.01244354
808,0,0,1,42.00720787
809,0,0,1,39.01219368
810,0,0,1,41.00751877
811,0,0,1,44.01040077
812,0,0,1,42.00959206
813,0,0,1,44.00897026
814,0,0,1,41.00823402
815,0,0,1,39.00957108
816,0,0,1,38.01012039
817,0,0,1,41.0091877
818,0,0,1,39.00885582
819,0,0,1,39.00742531
820,0,0,1,40.0094986
821,0,0,1,40.00806808
822,0,0,1,40.36307335
823,0,0,1,40.0094986
824,0,0,1,42.00744629
825,0,0,1,43.01118851
826,0,0,1,49.01075363
827,0,0,1,43.00832748
828,0,0,1,39.00933266
829,0,0,1,40.00854492
830,0,0,1,39.00909424
831,0,0,1,42.00863838
832,0,0,1,43.01095009
833,0,0,1,38.0089283
834,0,0,1,39.00790215
835,0,0,1,38.00749779
836,0,0,1,38.00916672
837,0,0,1,40.01021385
838,0,0,1,42.00911522
839,0,0,1,44.01111603
840,0,0,1,41.00704193
841,0,0,1,41.00990295
842,0,0,1,42.00959206
843,0,0,1,39.00909424
844,0,0,1,37.00852394
845,0,0,1,39.00790215
846,0,0,1,38.00845146
847,0,0,1,38.0089283
848,0,0,1,40.0094986
849,0,0,1,38.00845146
850,0,0,1,39.00933266
851,0,0,1,38.00702095
852,0,0,1,40.00997543
853,0,0,1,39.0086174
854,0,0,1,39.00885582
855,0,0,1,41.01014137
856,0,0,1,38.00845146
857,0,0,1,39.00837898
858,0,0,1,37.00876236
859,0,0,1,40.00782967
860,0,0,1,37.00947762
861,0,0,1,38.00940514
862,0,0,1,41.00704193
863,0,0,1,39.01267052
864,0,0,1,40.00592232
865,0,0,1,38.00940514
866,0,0,1,40.00782967
867,0,0,1,39.00957108
868,0,0,1,39.00837898
869,0,0,1,41.0091877
870,0,0,1,38.00797462
871,0,0,1,39.00980949
872,0,0,1,37.00780869
873,0,0,1,40.64583778
874,0,0,1,37.01066971
875,0,0,1,40.01116753
876,0,0,1,41.01037979
877,0,0,1,38.00749779
878,0,0,1,40.01021385
879,0,0,1,39.00766373
880,0,0,1,42.01483727
881,0,0,1,39.00933266
882,0,0,1,38.00868988
883,0,0,1,42.0126915
884,0,0,1,218.5578346
885,0,0,1,40.00854492
886,0,0,1,43.00951958
887,0,0,1,42.00959206
888,0,0,1,41.00966454
889,0,0,1,39.00885582
890,0,0,1,43.80369186
891,0,0,1,41.01085663
892,0,0,1,49.00956154
893,0,0,1,43.0085659
894,0,0,1,49.01146889
895,0,0,1,42.0293808
896,0,0,1,43.009758
897,0,0,1,46.22220993
898,0,0,1,40.00926018
899,0,0,1,40.01116753
900,0,0,1,39.00694847
901,0,0,1,42.00935364
902,0,0,1,38.62166405
903,0,0,1,38.00797462
904,0,0,1,41.00966454
905,0,0,1,38.00916672
906,0,0,1,37.00709343
907,0,0,1,41.01324081
908,0,0,1,40.0094986
909,0,0,1,38.00749779
910,0,0,1,38.01560402
911,0,0,1,40.00926018
912,0,0,1,37.01281548
913,0,0,1,39.00742531
914,0,0,1,38.00964355
915,0,0,1,41.01514816
916,0,0,1,39.00766373
917,0,0,1,40.01283646
918,0,0,1,45.01080513
919,0,0,1,40.01045227
920,0,0,1,40.01235962
921,0,0,1,41.00847244
922,0,0,1,37.98389435
923,0,0,1,38.00821304
924,0,0,1,38.00797462
925,0,0,1,42.52171516
926,0,0,1,40.00759125
927,0,0,1,43.01428795
928,0,0,1,43.00928116
929,0,0,1,40.00973701
930,0,0,1,41.01371765
931,0,0,1,37.00852394
932,0,0,1,40.83657265
933,0,0,1,39.00885582
934,0,0,1,39.00814056
935,0,0,1,39.41917419
936,0,0,1,39.00933266
937,0,0,1,37.45532036
938,0,0,1,38.00725937
939,0,0,1,39.00957108
940,0,0,1,38.51270676
941,0,0,1,38.0089283
942,0,0,1,41.0091877
943,0,0,1,38.00821304
944,0,0,1,38.00916672
945,0,0,1,39.01171684
946,0,0,1,44.00992393
947,0,0,1,41.01514816
948,0,0,1,42.00911522
949,0,0,1,54.01277542
950,0,0,1,51.01442337
951,0,0,1,52.00815201
952,0,0,1,43.01071167
953,0,0,1,53.01141739
954,0,0,1,43.01023483
955,0,0,1,42.00983047
956,0,0,1,48.01225662
957,0,0,1,39.0086174
958,0,0,1,38.02132607
959,0,0,1,40.00878334
960,0,0,1,39.00980949
961,0,0,1,42.00863838
962,0,0,1,40.00926018
963,0,0,1,44.01040077
964,0,0,1,40.00782967
965,0,0,1,38.00845146
966,0,0,1,40.00902176
967,0,0,1,38.00988197
968,0,0,1,37.00733185
969,0,0,1,39.00885582
970,0,0,1,40.00878334
971,0,0,1,38.0089283
972,0,0,1,37.00828552
973,0,0,1,39.00837898
974,0,0,1,37.00828552
975,0,0,1,37.00852394
976,0,0,1,38.00821304
977,0,0,1,39.00933266
978,0,0,1,38.00821304
979,0,0,1,37.0092392
980,0,0,1,41.00894928
981,0,0,1,38.00964355
982,0,0,1,37.00733185
983,0,0,1,39.00885582
984,0,0,1,37.0092392
985,0,0,1,38.00749779
986,0,0,1,39.00957108
987,0,0,1,42.00983047
988,0,0,1,39.00766373
989,0,0,1,40.00926018
990,0,0,1,46.01073265
991,0,0,1,39.00718689
992,0,0,1,39.01004791
993,0,0,1,40.0083065
994,0,0,1,40.00926018
995,0,0,1,38.00821304
